"Timestamp","Which degree are you pursuing?","What was your undergraduate major?","How many years of professional full-time work experience do you have?","Rank yourself on your coding ability, i.e. your ability to write end-to-end applications.","How much experience do you have working in a group?","","How much experience do you have working in a multidisciplinary group?","",""
"2014/06/07 7:09:39 AM AST","MEng","Physics","1","4","I work in a group a few times a month/all of the time.","","I work in a multidisciplinary group a few times a month/all of the time.","",""
"2014/06/07 11:30:21 AM AST","MEng","Computer Science","0","3","I work in a group a few times a month/all of the time.","","I work in a multidisciplinary group a few times a year.","",""
"2014/06/07 2:32:43 PM AST","MBA","Biology/Chemistry/Physical science (non-Physics)","3","1","I work in a group a few times a month/all of the time.","Sean Smirnov","I work in a multidisciplinary group a few times a year.","",""
"2014/06/07 2:55:48 PM AST","MBA","Business/Economics/Hotel Administration","3","0","I work in a group a few times a year.","","I have worked in a multidisciplinary group a few times.","",""
"2014/06/07 3:33:28 PM AST","MBA","Business/Economics/Hotel Administration","3","0","I work in a group a few times a month/all of the time.","","I work in a multidisciplinary group a few times a month/all of the time.","",""
"2014/06/07 8:23:34 PM AST","MBA","Engineering (non-CS)","2","1","I work in a group a few times a month/all of the time.","","I have worked in a multidisciplinary group a few times.","",""
"2014/06/07 11:09:25 PM AST","MEng","Engineering (non-CS)","0","2","I work in a group a few times a year.","","I work in a multidisciplinary group a few times a year.","",""
"2014/06/08 12:09:03 PM AST","MEng","Computer Science","0","4","I work in a group a few times a month/all of the time.","","I work in a multidisciplinary group once a month.","",""
"2014/06/08 4:38:30 PM AST","MBA","Engineering (non-CS)","2","0","I work in a group a few times a month/all of the time.","","I work in a multidisciplinary group a few times a month/all of the time.","",""
"2014/06/08 10:03:24 PM AST","MS","Biology/Chemistry/Physical science (non-Physics)","0","0","I work in a group a few times a month/all of the time.","","I work in a multidisciplinary group once a month.","",""
"2014/06/08 10:25:42 PM AST","MEng","Computer Science","1","3","I work in a group a few times a month/all of the time.","","I have never worked in a multidisciplinary group.","",""
"2014/06/08 11:36:36 PM AST","MEng","Computer Science","0","3","I work in a group once a month.","WANG LILIN","I work in a multidisciplinary group a few times a year.","",""
"2014/06/09 4:30:09 AM AST","MEng","Engineering (non-CS)","0","1","I work in a group a few times a year.","","I have never worked in a multidisciplinary group.","",""
"2014/06/09 2:16:49 PM AST","MBA","Business/Economics/Hotel Administration","5","0","I work in a group a few times a year.","","I have worked in a multidisciplinary group a few times.","",""
"2014/06/09 2:57:39 PM AST","MEng","Mathematics","0","2","I have worked in a group a few times.","","I have worked in a multidisciplinary group a few times.","",""
"2014/06/10 11:13:17 AM AST","MEng","Biology/Chemistry/Physical science (non-Physics)","4","3","I work in a group a few times a year.","","I have worked in a multidisciplinary group a few times.","",""
"2014/06/10 1:46:07 PM AST","MEng","Mathematics","4","1","I work in a group a few times a month/all of the time.","","I work in a multidisciplinary group a few times a month/all of the time.","",""
"2014/06/11 4:22:01 PM AST","MEng","Engineering (non-CS)","1","4","I work in a group a few times a month/all of the time.","","I work in a multidisciplinary group a few times a month/all of the time.","",""
"2014/06/11 7:20:59 PM AST","MEng","Computer Science","3","3","I work in a group a few times a month/all of the time.","","I work in a multidisciplinary group a few times a month/all of the time.","",""
